3;201
103;431
150;201
151;201
152;201
153;215
154;215
287;566
402;363
565;876
596;188
597;188
620;863
683;2793
685;309
701;323
702;201
707;768
725;647
803;188
833;242
1036;120
1037;120
1038;120
1039;120
1061;269
1062;390
1066;876
1096;485
1116;647
1136;944
1156;404
1164;161
1262;782
1286;1011
1752;809
3066;674
3067;417
3068;350
3087;255
3093;404
3104;984
3183;228
3184;228
3211;350
3269;161
3271;849
3272;714
3273;714
3288;201
3297;2105
3301;498
3303;390
3337;323
3338;323
3343;485
3347;539
3395;417
3396;768
3397;2226
3398;2091
3400;795
3401;633
3402;957
3403;768
3404;471
3407;1079
3436;161
3440;188
3459;215
3552;228
3554;498
3652;525
3656;606
3657;323
3659;404
3702;134
3723;80
3724;201
3725;242
3726;377
3757;201
3763;1956
3784;228
3785;309
3786;269
3787;282
3788;296
3789;296
3790;471
3792;647
3793;647
3794;917
3795;1187
3796;1484
3797;2361
3804;201
3805;404
3890;363
3931;309
3932;215
3933;269
3934;647
3935;336
3937;390
3959;795
3960;336
3966;336
3967;539
3968;633
3969;674
3970;1133
3980;2159
3993;3036
4159;566
4161;2294
4170;903
4181;1214
4276;350
4277;350
4279;606
4348;674
4350;566
4351;876
4356;944
4357;1214
4360;606
4361;674
4368;809
4375;471
33598;336
33689;269
33690;269
33700;1349
33701;269
33726;2132
33745;404
63092;296
63146;188
63153;539
63154;215
63166;971
63168;201
63170;242
68008;174
73561;201
73565;161
73566;215
73587;228
73590;768
73591;215
73594;782
73598;161
73635;188
73640;201
73646;201
73654;701
73658;255
73662;323
73663;174
73667;201
73669;309
73671;768
73675;471
73680;201
73681;255
73683;215
73690;2159
73691;282
73692;944
73699;309
73704;147
73705;147
78527;579
78530;255
78532;282
78544;417
78579;309
78617;849
78648;1011
78671;174
78672;174
903506;120
903507;323
00001GD;188
00002GD;147
00008JF;404
00023JF;2091
00024GD;269
00035BP;1686
00039JF;1484
00043GD;323
00052QB;485
00055BB;255
00057GD;323
00061JF;471
00110BR;336
00111BR;228
00114GD	;377
00115GD	;377
00207BB;161
00211BB;539
00281QB;282
00321JF;1484
00357JF;836
00368BS;606
00374MC;647
00395JF;741
00395QB;741
00404BS;539
00411BS;539
00433JF;2834
00494BR;188
00495BR;188
00496BR;188
00499BR;228
520Lt;201
00544BS;647
00582BB;444
00584BB;350
00614QB;93
00616BR;80
00616JF;80
00618BR;93
00618QB;93
00620JF;188
00659BM;809
00661BP;2159
00664JF;809
00671QB;1214
00702JF;323
00703JF;876
00780JF;93
00904HA;188
00938BH;107
00948JF;107
00950JF;1821
00951HA;2024
3024;161
3025;309
3026;404
3027;201
3028;579
3033;525
3034;309
3036;431
3037;390
3040;1848
3041;377
3043;647
3044;304
3052;552
3061;1551
3067;1551
3073;255
3075;404
3076;161
3077;579
3116;836
3122;674
3123;485
3126;876
3130;1106
3134;269
3137;350
3138;539
3140;701
3148;633
3149;633
3152;1160
3154;1295
3160;2024
3481;930
